title,author,description,price,published_date,cover_image
The Great Gatsby,F. Scott Fitzgerald,A novel about the decadence and excess of the Jazz Age,10.99,1925-04-10,/covers/great_gatsby.jpg
To Kill a Mockingbird,Harper Lee,A novel about racial injustice in the American South,9.99,1960-07-11,/covers/to_kill_a_mockingbird.jpg
Pride and Prejudice,Jane Austen,A romantic novel set in Georgian England,7.99,1813-01-28,/covers/pride_and_prejudice.jpg
1984,George Orwell,A dystopian novel about a totalitarian society,8.99,1949-06-08,/covers/1984.jpg
The Catcher in the Rye,J.D. Salinger,A novel about a teenager's existential crisis,6.99,1951-07-16,/covers/catcher_in_the_rye.jpg
The Hobbit,J.R.R. Tolkien,A fantasy novel about a hobbit's adventure,12.99,1937-09-21,/covers/the_hobbit.jpg
The Lord of the Rings,J.R.R. Tolkien,A fantasy epic about a hobbit's quest to destroy a powerful ring,29.99,1954-07-29,/covers/the_lord_of_the_rings.jpg
Harry Potter and the Philosopher's Stone,J.K. Rowling,A children's novel about a young wizard's journey,11.99,1997-06-26,/covers/harry_potter_1.jpg
The Hunger Games,Suzanne Collins,A dystopian novel about a teenage girl's fight for survival,9.99,2008-09-14,/covers/hunger_games.jpg
A Game of Thrones,George R.R. Martin,A fantasy novel about a noble family's struggle for power,14.99,1996-08-01,/covers/game_of_thrones.jpg
